round_no,group_no,rank,index,score,good_pairs,insufficient,survive,poorly
1,2,1,12,0.200000,4,False,1,0
1,2,2,106,0.200000,4,False,1,0
1,2,3,74,0.200000,4,False,1,0
1,2,4,125,0.200000,4,False,1,0
1,2,5,29,0.200000,4,False,1,0
1,5,1,110,0.200000,4,False,1,0
1,5,2,63,0.200000,4,False,1,0
1,5,3,82,0.200000,4,False,1,0
1,5,4,44,0.200000,4,False,1,0
1,5,5,79,0.200000,4,False,1,0
1,1,1,91,0.200000,4,False,1,0
1,1,2,3,0.200000,4,False,1,0
1,1,3,16,0.200000,4,False,1,0
1,1,4,34,0.200000,4,False,1,0
1,1,5,14,0.200000,4,False,1,0
1,6,1,51,0.200000,4,False,1,0
1,6,2,71,0.200000,4,False,1,0
1,6,3,76,0.200000,4,False,1,0
1,6,4,129,0.200000,4,False,1,0
1,6,5,90,0.200000,4,False,1,0
1,3,1,131,0.200000,3,False,1,0
1,3,2,43,0.200000,4,False,1,0
1,3,3,77,0.200000,4,False,1,0
1,3,4,49,0.200000,3,False,1,0
1,3,5,101,0.200000,4,False,1,0
1,4,1,6,0.523810,4,False,1,0
1,4,2,25,0.119047,4,False,1,0
1,4,3,97,0.119047,4,False,0,0
1,4,4,41,0.119047,3,False,0,0
1,4,5,124,0.119047,3,False,0,0
1,7,1,58,0.200000,4,False,1,0
1,7,2,57,0.200000,4,False,1,0
1,7,3,81,0.200000,4,False,1,0
1,7,4,107,0.200000,4,False,1,0
1,7,5,95,0.200000,4,False,1,0
2,1,1,81,0.200000,3,False,1,0
2,1,2,82,0.200000,3,False,1,0
2,1,3,125,0.200000,2,False,1,0
2,1,4,16,0.200000,3,False,1,0
2,1,5,106,0.200000,3,False,1,0
2,3,1,107,0.200000,3,False,1,0
2,3,2,63,0.200000,2,False,1,0
2,3,3,131,0.200000,4,False,1,0
2,3,4,74,0.200000,3,False,1,0
2,3,5,14,0.200000,4,False,1,0
2,2,1,6,0.541985,3,False,1,0
2,2,2,57,0.200000,2,False,1,0
2,2,3,58,0.152672,4,False,0,0
2,2,4,29,0.152672,3,False,0,0
2,2,5,101,0.152672,4,False,0,0
2,5,1,77,0.000000,3,True,1,0
2,5,2,76,0.000000,3,True,1,0
2,5,3,51,0.000000,2,True,1,0
2,5,4,129,0.000000,2,True,1,0
2,5,5,3,0.000000,2,True,1,0
2,4,1,110,0.000000,2,True,1,0
2,4,2,95,0.000000,2,True,1,0
2,4,3,44,0.000000,2,True,1,0
2,4,4,91,0.000000,3,True,1,0
2,4,5,79,0.000000,3,True,1,0
2,6,1,25,0.000000,2,True,1,0
2,6,2,71,0.000000,1,True,1,1
2,6,3,49,0.000000,2,True,1,0
2,6,4,34,0.000000,1,True,1,1
2,6,5,12,0.000000,2,True,1,0
2,7,1,43,0.500000,1,False,1,0
2,7,2,90,0.500000,1,False,1,0
3,2,1,131,0.200000,4,False,1,0
3,2,2,79,0.200000,4,False,1,0
3,2,3,74,0.200000,4,False,1,0
3,2,4,16,0.200000,4,False,1,0
3,2,5,25,0.200000,4,False,1,0
3,4,1,6,0.523810,4,False,1,0
3,4,2,76,0.119047,4,False,1,0
3,4,3,110,0.119047,4,False,0,0
3,4,4,81,0.119047,4,False,0,0
3,4,5,71,0.119047,4,False,0,0
3,6,1,91,0.250000,3,False,1,0
3,6,2,129,0.250000,3,False,1,0
3,6,3,3,0.250000,3,False,1,0
3,6,4,51,0.250000,3,False,1,0
3,5,1,57,0.200000,4,False,1,0
3,5,2,106,0.200000,4,False,1,0
3,5,3,125,0.200000,4,False,1,0
3,5,4,107,0.200000,4,False,1,0
3,5,5,63,0.200000,4,False,1,0
3,1,1,90,0.200000,4,False,1,0
3,1,2,12,0.200000,4,False,1,0
3,1,3,49,0.200000,4,False,1,0
3,1,4,95,0.200000,4,False,1,0
3,1,5,77,0.200000,4,False,1,0
3,3,1,43,0.200000,3,False,1,0
3,3,2,34,0.200000,4,False,1,0
3,3,3,14,0.200000,3,False,1,0
3,3,4,44,0.200000,4,False,1,0
3,3,5,82,0.200000,4,False,1,0
4,6,1,79,1.000000,0,False,1,1
4,1,1,3,0.200000,4,False,1,0
4,1,2,43,0.200000,4,False,1,0
4,1,3,76,0.200000,4,False,1,0
4,1,4,91,0.200000,4,False,1,0
4,1,5,106,0.200000,4,False,1,0
4,5,1,74,0.000000,1,True,1,1
4,5,2,51,0.000000,2,True,1,0
4,5,3,63,0.000000,2,True,1,0
4,5,4,82,0.000000,2,True,1,0
4,5,5,34,0.000000,1,True,1,1
4,4,1,16,0.000000,0,True,1,1
4,4,2,107,0.000000,2,True,1,0
4,4,3,131,0.000000,1,True,1,1
4,4,4,95,0.000000,1,True,1,1
4,4,5,25,0.000000,0,True,1,1
4,3,1,6,0.523810,4,False,1,0
4,3,2,14,0.119047,2,False,1,0
4,3,3,57,0.119047,3,False,0,0
4,3,4,125,0.119047,2,False,0,0
4,3,5,49,0.119047,3,False,0,0
4,2,1,12,0.000000,3,True,1,0
4,2,2,77,0.000000,2,True,1,0
4,2,3,129,0.000000,2,True,1,0
4,2,4,90,0.000000,3,True,1,0
4,2,5,44,0.000000,2,True,1,0
5,1,1,90,0.200000,4,False,1,0
5,1,2,106,0.200000,4,False,1,0
5,1,3,63,0.200000,4,False,1,0
5,1,4,82,0.200000,4,False,1,0
5,1,5,77,0.200000,4,False,1,0
5,5,1,131,0.333333,2,False,1,0
5,5,2,95,0.333333,2,False,1,0
5,5,3,107,0.333333,2,False,1,0
5,2,1,14,0.200000,4,False,1,0
5,2,2,34,0.200000,4,False,1,0
5,2,3,16,0.200000,4,False,1,0
5,2,4,44,0.200000,4,False,1,0
5,2,5,129,0.200000,4,False,1,0
5,3,1,76,0.200000,4,False,1,0
5,3,2,74,0.200000,4,False,1,0
5,3,3,51,0.200000,4,False,1,0
5,3,4,12,0.200000,4,False,1,0
5,3,5,43,0.200000,4,False,1,0
5,4,1,6,0.523810,4,False,1,0
5,4,2,91,0.119047,4,False,1,0
5,4,3,79,0.119047,4,False,0,0
5,4,4,25,0.119047,4,False,0,0
5,4,5,3,0.119047,4,False,0,0
6,1,1,6,0.523810,4,False,1,0
6,1,2,44,0.119047,4,False,1,0
6,1,3,12,0.119047,4,False,0,0
6,1,4,82,0.119047,4,False,0,0
6,1,5,34,0.119047,4,False,0,0
6,3,1,90,0.200000,4,False,1,0
6,3,2,131,0.200000,4,False,1,0
6,3,3,129,0.200000,4,False,1,0
6,3,4,14,0.200000,4,False,1,0
6,3,5,16,0.200000,4,False,1,0
6,2,1,76,0.200000,4,False,1,0
6,2,2,77,0.200000,4,False,1,0
6,2,3,107,0.200000,4,False,1,0
6,2,4,43,0.200000,4,False,1,0
6,2,5,63,0.200000,4,False,1,0
6,4,1,91,0.200000,4,False,1,0
6,4,2,74,0.200000,4,False,1,0
6,4,3,106,0.200000,4,False,1,0
6,4,4,51,0.200000,4,False,1,0
6,4,5,95,0.200000,4,False,1,0
7,4,1,6,0.649123,1,False,1,0
7,4,2,95,0.350877,1,False,1,0
7,1,1,91,0.200000,4,False,1,0
7,1,2,106,0.200000,4,False,1,0
7,1,3,43,0.200000,4,False,1,0
7,1,4,44,0.200000,4,False,1,0
7,1,5,51,0.200000,4,False,1,0
7,2,1,74,0.200000,4,False,1,0
7,2,2,76,0.200000,4,False,1,0
7,2,3,90,0.200000,4,False,1,0
7,2,4,107,0.200000,4,False,1,0
7,2,5,77,0.200000,4,False,1,0
7,3,1,16,0.200000,4,False,1,0
7,3,2,63,0.200000,4,False,1,0
7,3,3,14,0.200000,4,False,1,0
7,3,4,129,0.200000,4,False,1,0
7,3,5,131,0.200000,4,False,1,0
8,2,1,14,0.200000,4,False,1,0
8,2,2,129,0.200000,4,False,1,0
8,2,3,107,0.200000,4,False,1,0
8,2,4,51,0.200000,4,False,1,0
8,2,5,44,0.200000,4,False,1,0
8,4,1,16,0.500000,1,False,1,0
8,4,2,91,0.500000,1,False,1,0
8,3,1,63,0.200000,4,False,1,0
8,3,2,77,0.200000,4,False,1,0
8,3,3,76,0.200000,4,False,1,0
8,3,4,131,0.200000,4,False,1,0
8,3,5,90,0.200000,4,False,1,0
8,1,1,6,0.541985,3,False,1,0
8,1,2,74,0.200000,3,False,1,0
8,1,3,106,0.152672,4,False,0,0
8,1,4,43,0.152672,4,False,0,0
8,1,5,95,0.152672,4,False,0,0
9,2,1,44,0.200000,4,False,1,0
9,2,2,51,0.200000,4,False,1,0
9,2,3,91,0.200000,4,False,1,0
9,2,4,107,0.200000,4,False,1,0
9,2,5,131,0.200000,4,False,1,0
9,1,1,63,0.200000,4,False,1,0
9,1,2,77,0.200000,4,False,1,0
9,1,3,90,0.200000,4,False,1,0
9,1,4,129,0.200000,4,False,1,0
9,1,5,74,0.200000,4,False,1,0
9,3,1,6,0.541985,3,False,1,0
9,3,2,14,0.152672,3,False,1,0
9,3,3,76,0.152672,3,False,0,0
9,3,4,16,0.152672,3,False,0,0
10,1,1,6,0.523810,4,False,1,0
10,1,2,51,0.119047,4,False,1,0
10,1,3,91,0.119047,4,False,0,0
10,1,4,90,0.119047,4,False,0,0
10,1,5,44,0.119047,4,False,0,0
10,2,1,14,0.200000,4,False,1,0
10,2,2,77,0.200000,4,False,1,0
10,2,3,129,0.200000,4,False,1,0
10,2,4,131,0.200000,4,False,1,0
10,2,5,107,0.200000,4,False,1,0
10,3,1,74,0.500000,1,False,1,0
10,3,2,63,0.500000,1,False,1,0
11,1,1,74,0.200000,4,False,1,0
11,1,2,129,0.200000,4,False,1,0
11,1,3,14,0.200000,4,False,1,0
11,1,4,77,0.200000,4,False,1,0
11,1,5,63,0.200000,4,False,1,0
11,2,1,6,0.541985,3,False,1,0
11,2,2,131,0.152672,3,False,1,0
11,2,3,51,0.152672,3,False,0,0
11,2,4,107,0.152672,3,False,0,0
12,2,1,74,0.500000,1,False,1,0
12,2,2,14,0.500000,1,False,1,0
12,1,1,6,0.523810,4,False,1,0
12,1,2,131,0.119047,4,False,1,0
12,1,3,63,0.119047,4,False,0,0
12,1,4,77,0.119047,4,False,0,0
12,1,5,129,0.119047,4,False,0,0
13,0,1,6,0.541985,3,False,1,0
13,0,2,74,0.152672,3,False,1,0
13,0,3,131,0.152672,3,False,0,0
13,0,4,14,0.152672,3,False,0,0
